

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.014  000.014: --- NVIM STARTING ---
000.196  000.182: event init
000.335  000.139: early init
000.442  000.107: locale set
000.527  000.085: init first window
000.922  000.396: inits 1
000.936  000.013: window checked
000.939  000.004: parsing arguments
001.525  000.091  000.091: require('vim.shared')
001.682  000.062  000.062: require('vim._meta')
001.685  000.155  000.093: require('vim._editor')
001.687  000.286  000.040: require('vim._init_packages')
001.688  000.463: init lua interpreter
001.739  000.051: expanding arguments
001.805  000.065: inits 2
002.245  000.441: init highlight
002.247  000.002: waiting for UI
003.195  000.948: done waiting for UI
003.214  000.020: init screen for UI
003.460  000.245: init default mappings
003.482  000.022: init default autocommands
007.453  000.094  000.094: sourcing /squashfs-root/usr/share/nvim/runtime/ftplugin.vim
007.873  000.047  000.047: sourcing /squashfs-root/usr/share/nvim/runtime/indent.vim
008.120  000.076  000.076: require('oasido.utils')
010.165  000.531  000.531: require('packer.util')
010.214  001.925  001.394: require('packer')
011.994  000.536  000.536: require('packer.log')
012.000  001.088  000.552: require('packer.async')
012.843  000.362  000.362: require('packer.result')
012.849  000.846  000.484: require('packer.jobs')
012.856  002.596  000.662: require('packer.plugin_utils')
013.362  000.492  000.492: require('packer.snapshot')
013.940  005.816  000.803: require('oasido.plugins')
016.005  000.340  000.340: require('notify.util.queue')
016.011  000.828  000.488: require('notify.util')
016.383  000.370  000.370: require('notify.config.highlights')
016.388  001.680  000.482: require('notify.config')
016.654  000.263  000.263: require('notify.stages')
016.956  000.300  000.300: require('notify.service.notification')
018.128  000.420  000.420: require('notify.animate.spring')
018.133  000.676  000.256: require('notify.animate')
018.138  001.179  000.503: require('notify.windows')
019.383  000.509  000.509: require('notify.service.buffer.highlights')
019.389  000.852  000.343: require('notify.service.buffer')
019.396  001.256  000.404: require('notify.service')
019.815  000.417  000.417: require('notify.stages.util')
019.824  005.652  000.558: require('notify')
020.222  006.277  000.625: require('oasido.options')
020.448  000.217  000.217: require('oasido.mappings')
020.862  000.350  000.350: require('nightfox')
021.501  000.296  000.296: require('nightfox.util.reload')
022.228  000.361  000.361: require('nightfox.lib.collect')
022.614  000.381  000.381: require('nightfox.util')
022.644  001.126  000.385: require('nightfox.config')
023.418  000.409  000.409: require('nightfox.lib.highlight')
023.425  000.777  000.368: require('nightfox.main')
023.719  000.292  000.292: require('nightfox.override')
026.111  002.285  002.285: require('nightfox.precompiled.nvim.carbonfox_compiled')
026.117  004.940  000.164: sourcing /home/oasido/.local/share/nvim/site/pack/packer/start/nightfox.nvim/colors/carbonfox.vim
026.226  005.773  000.483: require('oasido.colorscheme')
027.713  000.227  000.227: require('vim.treesitter.language')
027.719  000.717  000.490: require('vim.treesitter.query')
029.659  000.479  000.479: require('vim.treesitter.languagetree')
029.715  000.884  000.405: require('vim.treesitter')
029.992  001.731  000.846: require('nvim-treesitter.parsers')
030.298  000.302  000.302: require('nvim-treesitter.utils')
030.305  002.364  000.331: require('nvim-treesitter.ts_utils')
030.313  002.592  000.228: require('nvim-treesitter.tsrange')
030.502  000.188  000.188: require('nvim-treesitter.caching')
030.514  003.824  000.326: require('nvim-treesitter.query')
030.536  004.231  000.408: require('nvim-treesitter.configs')
031.563  000.400  000.400: require('nvim-treesitter.info')
032.050  000.483  000.483: require('nvim-treesitter.shell_command_selectors')
032.074  001.523  000.640: require('nvim-treesitter.install')
036.924  010.695  004.940: require('oasido.treesitter')
038.886  000.423  000.423: require('which-key.util')
038.891  000.815  000.392: require('which-key.tree')
039.389  000.496  000.496: require('which-key.config')
039.398  002.013  000.702: require('which-key.keys')
039.402  002.326  000.313: require('which-key')
